pool,task,task_type,candidate_count,frequency_level,selected_value,selected_count,selected_proportion,n_outer_units
Modern-augmented,clintox,classification,32,candidate,maccs__lightgbm,2,0.1333333333333333,15
Modern-augmented,clintox,classification,32,learner_family,lightgbm,15,1.0,15
Modern-augmented,clintox,classification,32,representation,multiview,13,0.8666666666666667,15
Modern-augmented,clintox,classification,32,representation,maccs,2,0.1333333333333333,15
Classical multiview,esol,regression,4,candidate,rdkit2d__linear,15,1.0,15
Classical multiview,esol,regression,4,learner_family,linear,15,1.0,15
Classical multiview,esol,regression,4,representation,rdkit2d,15,1.0,15
Classical multiview,esol,regression,8,candidate,rdkit2d__random_forest,15,1.0,15
Classical multiview,esol,regression,8,learner_family,random_forest,15,1.0,15
Classical multiview,esol,regression,8,representation,rdkit2d,15,1.0,15
Classical multiview,esol,regression,16,candidate,rdkit2d__lightgbm,10,0.6666666666666666,15
Classical multiview,esol,regression,16,candidate,multiview__lightgbm,5,0.3333333333333333,15
Classical multiview,esol,regression,16,learner_family,lightgbm,15,1.0,15
Classical multiview,esol,regression,16,representation,rdkit2d,10,0.6666666666666666,15
Classical multiview,esol,regression,16,representation,multiview,5,0.3333333333333333,15
Classical multiview,esol,regression,32,candidate,multiview__lightgbm,5,0.3333333333333333,15
Classical multiview,esol,regression,32,candidate,rdkit2d__lightgbm,4,0.2666666666666666,15
Classical multiview,esol,regression,32,candidate,rdkit2d__lightgbm_alt,2,0.1333333333333333,15
Classical multiview,esol,regression,32,candidate,rdkit2d__xgboost,2,0.1333333333333333,15
Classical multiview,esol,regression,32,candidate,multiview__lightgbm_alt,1,0.0666666666666666,15
Classical multiview,esol,regression,32,candidate,rdkit2d__linear_alt,1,0.0666666666666666,15
Classical multiview,esol,regression,32,learner_family,lightgbm,9,0.6,15
Classical multiview,esol,regression,32,learner_family,lightgbm_alt,3,0.2,15
Classical multiview,esol,regression,32,learner_family,xgboost,2,0.1333333333333333,15
Classical multiview,esol,regression,32,learner_family,linear_alt,1,0.0666666666666666,15
Classical multiview,esol,regression,32,representation,rdkit2d,9,0.6,15
Classical multiview,esol,regression,32,representation,multiview,6,0.4,15
Homogeneous Morgan,esol,regression,4,candidate,hom::order03,15,1.0,15
Homogeneous Morgan,esol,regression,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,esol,regression,4,representation,morgan512,15,1.0,15
