task,task_type,seed,outer_fold,candidate_count,selected_candidate,selected_utility,fixed_reference_utility,observed_audit_best_utility,observed_audit_best_gain,selected_model_gain,incremental_observed_audit_gap,realization_ratio
bace,classification,23,2,32,lgbm_80_bag0.8,0.8256960842188114,0.8169519874065329,0.8486262790240062,0.03167429161747337,0.008744096812278501,0.02293019480519487,0.27606290040768433
bace,classification,23,3,4,logreg_l2_c0.1,0.874734365513054,0.874734365513054,0.874734365513054,0.0,0.0,0.0,
bace,classification,23,3,8,rf_90_leaf2,0.8872571341833637,0.874734365513054,0.8888635903663226,0.014129224853268618,0.01252276867030977,0.0016064561829588486,0.8863025962399335
bace,classification,23,3,16,rf_90_leaf2,0.8872571341833637,0.874734365513054,0.8888635903663226,0.014129224853268618,0.01252276867030977,0.0016064561829588486,0.8863025962399335
bace,classification,23,3,32,rf_90_leaf2,0.8872571341833637,0.874734365513054,0.8920132564258249,0.017278890912770906,0.01252276867030977,0.004756122242461136,0.7247437774524136
clintox,classification,23,1,4,logreg_l2_c0.1,0.8074064471523636,0.8074064471523636,0.8074064471523636,0.0,0.0,0.0,
clintox,classification,23,1,8,rf_90_d12,0.8478523895946763,0.8074064471523636,0.8569267997580158,0.04952035260565213,0.0404459424423127,0.00907441016333943,0.81675392670157
clintox,classification,23,1,16,rf_90_d12,0.8478523895946763,0.8074064471523636,0.8787053841500303,0.07129893699766665,0.0404459424423127,0.030852994555353952,0.567272727272727
clintox,classification,23,1,32,xgb_60_d6,0.8697173969406274,0.8074064471523636,0.8787053841500303,0.07129893699766665,0.06231094978826379,0.008987987209402859,0.8739393939393935
clintox,classification,23,2,4,logreg_l2_c0.1,0.8550176056338028,0.8550176056338028,0.8550176056338028,0.0,0.0,0.0,
clintox,classification,23,2,8,rf_120_d20_leaf2,0.8276115023474179,0.8550176056338028,0.8550176056338028,0.0,-0.02740610328638493,0.02740610328638493,
clintox,classification,23,2,16,et_120_d20_leaf2,0.8473298122065729,0.8550176056338028,0.8550176056338028,0.0,-0.007687793427229916,0.007687793427229916,
clintox,classification,23,2,32,et_120_d20_leaf2,0.8473298122065729,0.8550176056338028,0.8647887323943663,0.009771126760563464,-0.007687793427229916,0.01745892018779338,-0.7867867867867666
clintox,classification,23,3,4,logreg_l2_c0.1,0.7937599040644139,0.7937599040644139,0.7937599040644139,0.0,0.0,0.0,
clintox,classification,23,3,8,rf_120_d20_leaf2,0.8321341385070025,0.7937599040644139,0.8422416377575056,0.04848173369309172,0.038374234442588584,0.010107499250503138,0.791519434628977
clintox,classification,23,3,16,et_60_sqrt,0.8120262109726327,0.7937599040644139,0.8422416377575056,0.04848173369309172,0.018266306908218843,0.03021542678487288,0.37676678445229883
clintox,classification,23,3,32,et_60_sqrt,0.8120262109726327,0.7937599040644139,0.8448969977300954,0.05113709366568153,0.018266306908218843,0.03287078675746269,0.35720268006700373
esol,regression,23,1,4,ridge_a10,-1.5358168920779205,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.7792845331348062,0.0,1.0
esol,regression,23,1,8,rf_60_sqrt,-1.7722617199981103,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.5428397052146163,0.23644482792018984,0.696587295311701
esol,regression,23,1,16,histgb_lr0.1,-1.7093423289853782,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.6057590962273485,0.1735254369074577,0.7773272411689967
esol,regression,23,1,32,histgb_lr0.1,-1.7093423289853782,-2.3151014252127267,-1.5358168920779205,0.7792845331348062,0.6057590962273485,0.1735254369074577,0.7773272411689967
esol,regression,23,2,4,ridge_a10,-1.83137317308683,-2.4390717984277,-1.83137317308683,0.6076986253408703,0.6076986253408703,0.0,1.0
esol,regression,23,2,8,ridge_a10,-1.83137317308683,-2.4390717984277,-1.83137317308683,0.6076986253408703,0.6076986253408703,0.0,1.0
esol,regression,23,2,16,ridge_a10,-1.83137317308683,-2.4390717984277,-1.7968916185478012,0.642180179879899,0.6076986253408703,0.03448155453902868,0.9463054830725585
esol,regression,23,2,32,ridge_a10,-1.83137317308683,-2.4390717984277,-1.776396085361342,0.6626757130663581,0.6076986253408703,0.054977087725487817,0.9170377204996758
esol,regression,23,3,4,ridge_a10,-1.4193838819025708,-3.0284888720263163,-1.4193838819025708,1.6091049901237455,1.6091049901237455,0.0,1.0
