task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
freesolv,71,1,-1.293868919977676,multiview,linear,-2.244413831118366,morgan512,lightgbm,-1.293868919977676,-6.184039296496714,4.890170376519038,0.9505449111406898,0.19437868989286927,attainable multiview gain vs Morgan-only oracle
freesolv,71,2,-1.9845203527814048,multiview,linear,-3.561525179180132,morgan512,random_forest,-1.9845203527814048,-6.705997115356247,4.721476762574842,1.5770048263987273,0.3340066902158622,attainable multiview gain vs Morgan-only oracle
freesolv,71,3,-1.1716455818285592,rdkit2d,random_forest,-2.414594600823617,morgan512,lightgbm,-1.1716455818285592,-5.247306048251642,4.075660466423082,1.242949018995058,0.30496873555463416,attainable multiview gain vs Morgan-only oracle
lipo,11,1,-0.7531590689681468,multiview,lightgbm,-0.99660397614851,morgan512,lightgbm,-0.7531590689681468,-1.1006515404902455,0.3474924715220987,0.24344490718036327,0.7005760617316897,attainable multiview gain vs Morgan-only oracle
lipo,11,2,-0.7341546186961053,multiview,lightgbm,-0.9975050764157232,morgan512,lightgbm,-0.7341546186961053,-1.1074840243976385,0.37332940570153317,0.26335045771961785,0.7054104329787497,attainable multiview gain vs Morgan-only oracle
lipo,11,3,-0.7029213398945534,multiview,lightgbm,-0.9165373829785124,morgan512,lightgbm,-0.7029213398945534,-1.0811223483189367,0.3782010084243833,0.21361604308395898,0.5648214529461492,attainable multiview gain vs Morgan-only oracle
lipo,23,1,-0.7531590689681468,multiview,lightgbm,-0.99660397614851,morgan512,lightgbm,-0.7531590689681468,-1.1006515404902455,0.3474924715220987,0.24344490718036327,0.7005760617316897,attainable multiview gain vs Morgan-only oracle
lipo,23,2,-0.7341546186961053,multiview,lightgbm,-0.9975050764157232,morgan512,lightgbm,-0.7341546186961053,-1.1074840243976385,0.37332940570153317,0.26335045771961785,0.7054104329787497,attainable multiview gain vs Morgan-only oracle
lipo,23,3,-0.7029213398945534,multiview,lightgbm,-0.9165373829785124,morgan512,lightgbm,-0.7029213398945534,-1.0811223483189367,0.3782010084243833,0.21361604308395898,0.5648214529461492,attainable multiview gain vs Morgan-only oracle
lipo,37,1,-0.7531590689681468,multiview,lightgbm,-0.99660397614851,morgan512,lightgbm,-0.7531590689681468,-1.1006515404902455,0.3474924715220987,0.24344490718036327,0.7005760617316897,attainable multiview gain vs Morgan-only oracle
lipo,37,2,-0.7341546186961053,multiview,lightgbm,-0.9975050764157232,morgan512,lightgbm,-0.7341546186961053,-1.1074840243976385,0.37332940570153317,0.26335045771961785,0.7054104329787497,attainable multiview gain vs Morgan-only oracle
lipo,37,3,-0.7029213398945534,multiview,lightgbm,-0.9165373829785124,morgan512,lightgbm,-0.7029213398945534,-1.0811223483189367,0.3782010084243833,0.21361604308395898,0.5648214529461492,attainable multiview gain vs Morgan-only oracle
lipo,53,1,-0.7531590689681468,multiview,lightgbm,-0.99660397614851,morgan512,lightgbm,-0.7531590689681468,-1.1006515404902455,0.3474924715220987,0.24344490718036327,0.7005760617316897,attainable multiview gain vs Morgan-only oracle
lipo,53,2,-0.7341546186961053,multiview,lightgbm,-0.9975050764157232,morgan512,lightgbm,-0.7341546186961053,-1.1074840243976385,0.37332940570153317,0.26335045771961785,0.7054104329787497,attainable multiview gain vs Morgan-only oracle
lipo,53,3,-0.7029213398945534,multiview,lightgbm,-0.9165373829785124,morgan512,lightgbm,-0.7029213398945534,-1.0811223483189367,0.3782010084243833,0.21361604308395898,0.5648214529461492,attainable multiview gain vs Morgan-only oracle
lipo,71,1,-0.7531590689681468,multiview,lightgbm,-0.99660397614851,morgan512,lightgbm,-0.7531590689681468,-1.1006515404902455,0.3474924715220987,0.24344490718036327,0.7005760617316897,attainable multiview gain vs Morgan-only oracle
lipo,71,2,-0.7341546186961053,multiview,lightgbm,-0.9975050764157232,morgan512,lightgbm,-0.7341546186961053,-1.1074840243976385,0.37332940570153317,0.26335045771961785,0.7054104329787497,attainable multiview gain vs Morgan-only oracle
lipo,71,3,-0.7029213398945534,multiview,lightgbm,-0.9165373829785124,morgan512,lightgbm,-0.7029213398945534,-1.0811223483189367,0.3782010084243833,0.21361604308395898,0.5648214529461492,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,11,1,-0.4677203415560546,rdkit2d,lightgbm,-0.5612774773019102,morgan512,lightgbm,-0.4677203415560546,-1.2506871884640738,0.7829668469080192,0.09355713574585567,0.11949054562823208,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,11,2,-0.4401240882137068,multiview,lightgbm,-0.6522750230711593,morgan512,random_forest,-0.4401240882137068,-1.2511676794586275,0.8110435912449208,0.21215093485745246,0.26157772177425004,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,11,3,-0.4571491902648016,multiview,random_forest,-0.5113633120227917,morgan512,lightgbm,-0.4571491902648016,-1.3645124333845986,0.907363243119797,0.05421412175799012,0.05974908303711434,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,23,1,-0.4677203415560546,rdkit2d,lightgbm,-0.5612774773019102,morgan512,lightgbm,-0.4677203415560546,-1.2506871884640738,0.7829668469080192,0.09355713574585567,0.11949054562823208,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,23,2,-0.4401240882137068,multiview,lightgbm,-0.6629539451239785,morgan512,lightgbm,-0.4401240882137068,-1.2511676794586275,0.8110435912449208,0.22282985691027174,0.2747446121462306,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,23,3,-0.4600488042639477,rdkit2d,random_forest,-0.5113633120227917,morgan512,lightgbm,-0.4600488042639477,-1.3645124333845986,0.9044636291206509,0.05131450775884405,0.056734738807279285,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,37,1,-0.4677203415560546,rdkit2d,lightgbm,-0.5612774773019102,morgan512,lightgbm,-0.4677203415560546,-1.2506871884640738,0.7829668469080192,0.09355713574585567,0.11949054562823208,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,37,2,-0.4401240882137068,multiview,lightgbm,-0.6629539451239785,morgan512,lightgbm,-0.4401240882137068,-1.2511676794586275,0.8110435912449208,0.22282985691027174,0.2747446121462306,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,37,3,-0.4537912401663454,multiview,random_forest,-0.5113633120227917,morgan512,lightgbm,-0.4537912401663454,-1.3645124333845986,0.9107211932182532,0.057572071856446305,0.0632159131523024,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,53,1,-0.4677203415560546,rdkit2d,lightgbm,-0.5612774773019102,morgan512,lightgbm,-0.4677203415560546,-1.2506871884640738,0.7829668469080192,0.09355713574585567,0.11949054562823208,attainable multiview gain vs Morgan-only oracle
