endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,4,53,1,32,0.25,500,0.096,0.0024827586206896584,0.1324598709516419,0.13658807212205257
bace,4,53,1,32,0.5,500,0.176,0.09075862068965518,0.1920387297518072,0.09231761442441049
bace,4,53,1,32,0.75,500,0.236,0.1569655172413793,0.24625856412737773,0.06610679611650475
bace,4,53,1,32,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,2,4,0.0,500,0.748,-0.008,0.534,0.13788195841716855
bace,4,53,2,4,0.1,500,0.786,0.144,0.5551666666666666,0.11858182427900626
bace,4,53,2,4,0.25,500,0.828,0.312,0.5793333333333334,0.10022669349429805
bace,4,53,2,4,0.5,500,0.932,0.728,0.6723333333333332,0.05304661301140081
bace,4,53,2,4,0.75,500,0.988,0.952,0.7386666666666666,0.023348759221997844
bace,4,53,2,4,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,2,8,0.0,500,0.35,-0.04,0.32953571428571427,0.4483066733735766
bace,4,53,2,8,0.1,500,0.424,0.07840000000000001,0.3710190476190477,0.3459612676056356
bace,4,53,2,8,0.25,500,0.478,0.1648,0.3965452380952381,0.30335228034876094
bace,4,53,2,8,0.5,500,0.598,0.3568,0.4684833333333334,0.16194668008048452
bace,4,53,2,8,0.75,500,0.754,0.6064,0.5658119047619048,0.07790761234071239
bace,4,53,2,8,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,2,16,0.0,500,0.178,-0.011692307692307726,0.20275510600510602,0.36485881958417116
bace,4,53,2,16,0.1,500,0.216,0.03507692307692305,0.23474265456765459,0.32305197853789347
bace,4,53,2,16,0.25,500,0.256,0.08430769230769228,0.24627123432123432,0.2462008718980545
bace,4,53,2,16,0.5,500,0.378,0.2344615384615384,0.33675247807747805,0.14167974513749101
bace,4,53,2,16,0.75,500,0.468,0.3452307692307692,0.39492090964590965,0.07151509054325879
bace,4,53,2,16,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,2,32,0.0,500,0.102,0.009103448275862075,0.134070826639287,0.34804543930248105
bace,4,53,2,32,0.1,500,0.144,0.05544827586206897,0.1687457889892093,0.29777146210596855
bace,4,53,2,32,0.25,500,0.174,0.08855172413793104,0.18825973107812088,0.24594450033534485
bace,4,53,2,32,0.5,500,0.292,0.21875862068965518,0.2642041990056705,0.17050637156270898
bace,4,53,2,32,0.75,500,0.416,0.3555862068965517,0.3747499440729923,0.09057763246143449
bace,4,53,2,32,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,3,4,0.0,500,0.746,-0.016,0.5068333333333332,0.3064946166394792
bace,4,53,3,4,0.1,500,0.794,0.176,0.5568333333333333,0.2828176182708005
bace,4,53,3,4,0.25,500,0.848,0.392,0.612,0.2191164763458412
bace,4,53,3,4,0.5,500,0.948,0.792,0.71,0.14957324632952776
bace,4,53,3,4,0.75,500,0.988,0.952,0.84,0.07890244698205598
bace,4,53,3,4,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,3,8,0.0,500,0.394,0.0304,0.3514761904761905,0.3054486133768358
bace,4,53,3,8,0.1,500,0.452,0.12319999999999999,0.36579285714285714,0.2745735725938016
bace,4,53,3,8,0.25,500,0.456,0.12960000000000002,0.3801071428571428,0.2059615008156613
bace,4,53,3,8,0.5,500,0.53,0.248,0.43464761904761906,0.11259902120717852
bace,4,53,3,8,0.75,500,0.694,0.5104000000000001,0.5281190476190476,0.060581076672105105
bace,4,53,3,8,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,3,16,0.0,500,0.172,-0.019076923076923116,0.20042066544566545,0.2343663947797728
bace,4,53,3,16,0.1,500,0.214,0.03261538461538458,0.22482886002886004,0.19392854812398158
bace,4,53,3,16,0.25,500,0.216,0.03507692307692305,0.24192620990120992,0.1479634584013062
bace,4,53,3,16,0.5,500,0.31,0.15076923076923074,0.2811446359196359,0.09092985318107781
bace,4,53,3,16,0.75,500,0.338,0.18523076923076923,0.3010499333999334,0.05812202283850031
bace,4,53,3,16,1.0,1,1.0,1.0,1.0,0.0
