dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
tdc_hia_hou,classification,71,2,32,logreg_l2_c0.1,et_90_d12,et_90_d12,xgb_60_d6,0.7818260368663595,0.8225806451612904,0.8225806451612904,0.8637672811059908,0.04075460829493083,0.04075460829493083,0.08194124423963123,-0.03794336007137442
tdc_hia_hou,classification,71,3,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9405545112781956,0.9386748120300752,0.9405545112781956,0.9405545112781956,-0.00187969924812037,0.0,0.0,1.0
tdc_hia_hou,classification,71,3,8,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,rf_90_d12,0.9405545112781956,0.9386748120300752,0.9405545112781956,0.9464285714285714,-0.00187969924812037,0.0,0.005874060150375837,0.523809523809524
tdc_hia_hou,classification,71,3,16,logreg_l2_c0.1,et_90_d12,et_90_d12,rf_90_d12,0.9405545112781956,0.9386748120300752,0.9386748120300752,0.9464285714285714,-0.00187969924812037,-0.00187969924812037,0.005874060150375837,0.5323529411764706
tdc_hia_hou,classification,71,3,32,logreg_l2_c0.1,et_90_d12,et_90_d12,lgbm_100_leaf30,0.9405545112781956,0.9386748120300752,0.9386748120300752,0.949953007518797,-0.00187969924812037,-0.00187969924812037,0.009398496240601406,0.5766939269204946
tdc_hia_hou,classification,83,1,4,logreg_l2_c1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9602434077079108,0.973630831643002,0.9663286004056796,0.9663286004056796,0.01338742393509118,0.006085192697768749,0.006085192697768749,0.39999999999999997
tdc_hia_hou,classification,83,1,8,logreg_l2_c1,et_90_d12,rf_90_d12,rf_90_d12,0.9602434077079108,0.973630831643002,0.9728194726166328,0.9728194726166328,0.01338742393509118,0.012576064908721984,0.012576064908721984,-0.19047619047619052
tdc_hia_hou,classification,83,1,16,et_120_d20_leaf2,et_90_d12,et_90_d12,et_120_d20_leaf2,0.9764705882352942,0.973630831643002,0.973630831643002,0.9764705882352942,-0.0028397565922921864,-0.0028397565922921864,0.0,0.5558823529411765
tdc_hia_hou,classification,83,1,32,et_120_d20_leaf2,et_90_d12,et_90_d12,cat_80_d6,0.9764705882352942,0.973630831643002,0.973630831643002,0.9776876267748478,-0.0028397565922921864,-0.0028397565922921864,0.001217038539553572,0.3899890251210637
tdc_hia_hou,classification,83,2,4,logreg_l2_c1,et_90_d12,logreg_l2_c0.1,logreg_l2_c10,0.8471531676022453,0.8118684843624699,0.8370489174017642,0.8529270248596632,-0.035284683239775405,-0.010104250200481113,0.005773857257417858,0.39999999999999997
