dataset,pool_size,scenario,noise_scale,simulation_replicates,n_audit_units,observed_mean_same_fold_gap,simulated_mean_gap,simulated_gap_interval_low,simulated_gap_interval_high,top1_recovery_mean,top1_recovery_interval_low,top1_recovery_interval_high,observed_within_simulated_95pct_envelope,candidate_variance_cv
clintox,32,independent_homoskedastic,0.5,2000,30,0.030009430699144947,0.013658219711313454,0.009571198094543973,0.018183138034340306,0.20758333333333334,0.06666666666666667,0.36666666666666664,0,0.11981760448432247
clintox,32,independent_homoskedastic,1.0,2000,30,0.030009430699144947,0.021895313173561706,0.016287143167873032,0.027830026047702305,0.10763333333333334,0.0,0.23333333333333334,0,0.11981760448432247
clintox,32,independent_homoskedastic,2.0,2000,30,0.030009430699144947,0.028744994447858253,0.021679526667313966,0.03601552677619017,0.06511666666666666,0.0,0.16666666666666666,1,0.11981760448432247
esol,4,empirical_correlation_heteroskedastic,0.5,2000,30,0.0,0.00012592038244306868,0.0,0.0,0.9994000000000001,1.0,1.0,1,0.12707892914570737
esol,4,empirical_correlation_heteroskedastic,1.0,2000,30,0.0,0.00812595130457366,0.0,0.03396082675305285,0.9732333333333335,0.9,1.0,1,0.12707892914570737
esol,4,empirical_correlation_heteroskedastic,2.0,2000,30,0.0,0.08012870107349536,0.01334431653043146,0.16781551561600513,0.8508666666666668,0.7325,0.9666666666666667,0,0.12707892914570737
esol,4,independent_homoskedastic,0.5,2000,30,0.0,0.037162163743902514,0.006318481024620544,0.07609108135854521,0.8671500000000001,0.7333333333333333,0.9666666666666667,0,0.12707892914570737
esol,4,independent_homoskedastic,1.0,2000,30,0.0,0.11555066965376602,0.058740783799760464,0.1801774290250124,0.6513166666666665,0.5,0.8,0,0.12707892914570737
esol,4,independent_homoskedastic,2.0,2000,30,0.0,0.2080084121143499,0.12443447707779305,0.3040296805064531,0.47928333333333334,0.3,0.6666666666666666,0,0.12707892914570737
esol,8,empirical_correlation_heteroskedastic,0.5,2000,30,0.10265021076933406,0.011123980263367883,0.0021261889895888447,0.02272392953217065,0.7835666666666669,0.6666666666666666,0.9,0,0.12707892914570737
esol,8,empirical_correlation_heteroskedastic,1.0,2000,30,0.10265021076933406,0.03511835204668338,0.012899453717596536,0.06733961219703587,0.6458833333333333,0.4666666666666667,0.8,0,0.12707892914570737
esol,8,empirical_correlation_heteroskedastic,2.0,2000,30,0.10265021076933406,0.12226121006319032,0.053429555662740276,0.208876465665494,0.4504,0.26666666666666666,0.6333333333333333,1,0.12707892914570737
esol,8,independent_homoskedastic,0.5,2000,30,0.10265021076933406,0.0700590411929756,0.042682338496331046,0.10086951782888301,0.4215,0.23333333333333334,0.6,0,0.12707892914570737
esol,8,independent_homoskedastic,1.0,2000,30,0.10265021076933406,0.10933035131357471,0.07499743845250595,0.1484027372591497,0.2814,0.13333333333333333,0.4666666666666667,1,0.12707892914570737
esol,8,independent_homoskedastic,2.0,2000,30,0.10265021076933406,0.14968455283625143,0.10382048390287212,0.20789005686413017,0.21233333333333335,0.06666666666666667,0.36666666666666664,0,0.12707892914570737
esol,16,empirical_correlation_heteroskedastic,0.5,2000,30,0.10689031003477693,0.01678448893328474,0.006317441434768874,0.030036234940830065,0.6499333333333331,0.5,0.8,0,0.12707892914570737
esol,16,empirical_correlation_heteroskedastic,1.0,2000,30,0.10689031003477693,0.04413267588540191,0.021675290658798474,0.07504656457337718,0.4614666666666667,0.3,0.6333333333333333,0,0.12707892914570737
esol,16,empirical_correlation_heteroskedastic,2.0,2000,30,0.10689031003477693,0.1310862667368858,0.06389824716400025,0.22428751099057812,0.2806,0.13333333333333333,0.43333333333333335,1,0.12707892914570737
esol,16,independent_homoskedastic,0.5,2000,30,0.10689031003477693,0.08047555258705552,0.05579938308155807,0.1064679246960063,0.23828333333333332,0.1,0.4,0,0.12707892914570737
esol,16,independent_homoskedastic,1.0,2000,30,0.10689031003477693,0.11333172367140165,0.08499195837320034,0.1448046000886912,0.14213333333333336,0.03333333333333333,0.26666666666666666,1,0.12707892914570737
esol,16,independent_homoskedastic,2.0,2000,30,0.10689031003477693,0.13950388705328504,0.10404009483825359,0.18006540724106124,0.10215,0.0,0.23333333333333334,1,0.12707892914570737
esol,32,empirical_correlation_heteroskedastic,0.5,2000,30,0.11991034083179955,0.020357319875047238,0.008752553377939148,0.03513989654330329,0.5577833333333333,0.4,0.7,0,0.12707892914570737
esol,32,empirical_correlation_heteroskedastic,1.0,2000,30,0.11991034083179955,0.05158920482298737,0.027202492813138097,0.08482371479292332,0.3612166666666667,0.23333333333333334,0.5,0,0.12707892914570737
esol,32,empirical_correlation_heteroskedastic,2.0,2000,30,0.11991034083179955,0.14088458892876674,0.0758712174889753,0.23289011280735147,0.19123333333333334,0.06666666666666667,0.3333333333333333,1,0.12707892914570737
esol,32,independent_homoskedastic,0.5,2000,30,0.11991034083179955,0.08687491881171004,0.06290857631427728,0.10930990324570353,0.14360000000000003,0.03333333333333333,0.26666666666666666,0,0.12707892914570737
esol,32,independent_homoskedastic,1.0,2000,30,0.11991034083179955,0.11537121395586863,0.09062387562706638,0.1424248783000968,0.07613333333333334,0.0,0.16666666666666666,1,0.12707892914570737
esol,32,independent_homoskedastic,2.0,2000,30,0.11991034083179955,0.13542464219736855,0.10779386185881351,0.16839653511757496,0.05188333333333332,0.0,0.13333333333333333,1,0.12707892914570737
freesolv,4,empirical_correlation_heteroskedastic,0.5,2000,30,0.23183580019716937,0.029105165063800897,0.008606265321580386,0.057728859173377,0.7868333333333335,0.6666666666666666,0.9,0,0.08073020483674481
freesolv,4,empirical_correlation_heteroskedastic,1.0,2000,30,0.23183580019716937,0.09463892096779082,0.04106618545507745,0.1622926948930303,0.6021999999999998,0.4666666666666667,0.7666666666666667,0,0.08073020483674481
freesolv,4,empirical_correlation_heteroskedastic,2.0,2000,30,0.23183580019716937,0.21845493539182206,0.10834176313830982,0.35588863581833374,0.4536666666666666,0.3,0.6,1,0.08073020483674481
freesolv,4,independent_homoskedastic,0.5,2000,30,0.23183580019716937,0.07194682286047666,0.03185122736260909,0.12288061833721181,0.6328166666666666,0.4666666666666667,0.8,0,0.08073020483674481
freesolv,4,independent_homoskedastic,1.0,2000,30,0.23183580019716937,0.14803736179168844,0.07619885355551348,0.2341649171134593,0.4938166666666667,0.3333333333333333,0.6666666666666666,1,0.08073020483674481
freesolv,4,independent_homoskedastic,2.0,2000,30,0.23183580019716937,0.24604119309257852,0.13761238189132308,0.37577716136647366,0.3891166666666666,0.23333333333333334,0.5666666666666667,1,0.08073020483674481
freesolv,8,empirical_correlation_heteroskedastic,0.5,2000,30,0.22426294705508734,0.029641263603429998,0.007656883027754853,0.05989524025348456,0.7663166666666668,0.6333333333333333,0.9,0,0.08073020483674481
freesolv,8,empirical_correlation_heteroskedastic,1.0,2000,30,0.22426294705508734,0.09954008343669192,0.047141110786175965,0.16912162213123577,0.5553333333333333,0.4,0.7,0,0.08073020483674481
freesolv,8,empirical_correlation_heteroskedastic,2.0,2000,30,0.22426294705508734,0.22950270077015467,0.12114603483655563,0.3552816390490951,0.38033333333333336,0.23333333333333334,0.5333333333333333,1,0.08073020483674481
freesolv,8,independent_homoskedastic,0.5,2000,30,0.22426294705508734,0.12884779271380495,0.07720619686543967,0.18401624795480445,0.4437,0.26666666666666666,0.6333333333333333,0,0.08073020483674481
freesolv,8,independent_homoskedastic,1.0,2000,30,0.22426294705508734,0.21568762468258965,0.14885400888962713,0.2830497557888731,0.28304999999999997,0.13333333333333333,0.4666666666666667,1,0.08073020483674481
freesolv,8,independent_homoskedastic,2.0,2000,30,0.22426294705508734,0.2851824374228379,0.20022199618782285,0.3754131362662393,0.20418333333333333,0.06666666666666667,0.36666666666666664,1,0.08073020483674481
freesolv,16,empirical_correlation_heteroskedastic,0.5,2000,30,0.21508969975696443,0.03228849766008426,0.010880664404375419,0.05959904675442887,0.6742166666666665,0.5333333333333333,0.8333333333333334,0,0.08073020483674481
freesolv,16,empirical_correlation_heteroskedastic,1.0,2000,30,0.21508969975696443,0.10561363120856461,0.053971854194089265,0.16845753616340028,0.44715,0.26666666666666666,0.6,0,0.08073020483674481
freesolv,16,empirical_correlation_heteroskedastic,2.0,2000,30,0.21508969975696443,0.24400798630193474,0.1469065572517108,0.3674047726886767,0.26918333333333333,0.13333333333333333,0.43333333333333335,1,0.08073020483674481
freesolv,16,independent_homoskedastic,0.5,2000,30,0.21508969975696443,0.1544545557332782,0.10322095540780846,0.21082724373469988,0.2852,0.13333333333333333,0.4666666666666667,0,0.08073020483674481
freesolv,16,independent_homoskedastic,1.0,2000,30,0.21508969975696443,0.2392802528644033,0.17714765043009026,0.3077032010966846,0.16556666666666667,0.03333333333333333,0.3,1,0.08073020483674481
freesolv,16,independent_homoskedastic,2.0,2000,30,0.21508969975696443,0.2976132389061462,0.23099993365929794,0.3697214129056018,0.10613333333333334,0.0,0.23333333333333334,0,0.08073020483674481
freesolv,32,empirical_correlation_heteroskedastic,0.5,2000,30,0.21232039063081704,0.03538057230658957,0.014342130210936556,0.06297554469822635,0.6001666666666666,0.43333333333333335,0.7666666666666667,0,0.08073020483674481
freesolv,32,empirical_correlation_heteroskedastic,1.0,2000,30,0.21232039063081704,0.11326416583709292,0.06224001597497694,0.17618256246552258,0.3729666666666667,0.23250000000000004,0.5333333333333333,0,0.08073020483674481
freesolv,32,empirical_correlation_heteroskedastic,2.0,2000,30,0.21232039063081704,0.25328326301422327,0.15586095439988235,0.3808188701356098,0.20298333333333335,0.06666666666666667,0.36666666666666664,1,0.08073020483674481
freesolv,32,independent_homoskedastic,0.5,2000,30,0.21232039063081704,0.170984635932693,0.11911465260858813,0.22456628981184973,0.19813333333333333,0.06666666666666667,0.36666666666666664,1,0.08073020483674481
