task,task_type,matrix_level,candidate_count,transformation,reference_label,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
lipo,regression,outer,8,raw,candidate_1,10,30,8,1.514189628327588,1.2862043446205687,0.7946003715657945,1.8235463787117714,1.3878799822019268,0.7591264061887937,0.04464378151132508
lipo,regression,outer,8,row_centred,candidate_1,10,30,8,1.3586404280772433,1.1374826009447285,-0.8798618049186953,1.7244411643251671,1.2640399941306184,-0.8269218346383749,0.06016850599079301
lipo,regression,outer,8,fixed_reference_relative,candidate_1,10,30,7,1.9036079120895104,1.4987478697903587,0.717148309264364,2.440809619494022,1.7269957744195175,0.6540725387047869,0.08795359306400513
lipo,regression,outer,8,within_unit_rank,candidate_1,10,30,8,2.803816571513604,1.9973962142153832,-0.2738459382292723,3.32611027621575,2.247507340863278,-0.25272374765633077,0.07713165551959804
lipo,regression,outer,16,raw,candidate_1,10,30,16,1.537676345640876,1.2445207969309011,0.9502334664717754,1.88818517568655,1.3401088081808281,0.9127463070976164,0.03945047264368525
lipo,regression,outer,16,row_centred,candidate_1,10,30,16,3.599814578454041,2.311241781912639,-0.050288143996431944,4.757216457200051,2.7254546019770447,-0.045603337014982426,0.0931592739191553
lipo,regression,outer,16,fixed_reference_relative,candidate_1,10,30,15,1.9352845985883813,1.396676140709509,0.8892141398704836,2.575363385685169,1.5894011355967967,0.827635336529831,0.06925081437596357
lipo,regression,outer,16,within_unit_rank,candidate_1,10,30,16,5.708853022151005,3.519619058423302,-0.15879484811603814,7.790933369788379,4.57038594161497,-0.133355110357291,0.16020505740940205
lipo,regression,outer,32,raw,candidate_1,10,30,32,1.4955502134796634,1.179765869730956,0.9544875372131645,1.8683076328378643,1.26510512540621,0.9204554378185911,0.035654838924285254
lipo,regression,outer,32,row_centred,candidate_1,10,30,32,7.712530365632039,4.721881568278939,-0.025819845817303157,12.225180986635362,6.504823025367588,-0.021267442002590488,0.17631413630138268
lipo,regression,outer,32,fixed_reference_relative,candidate_1,10,30,31,1.9325311322746663,1.3248012984081496,0.8990909939001498,2.672019031736735,1.4957058598145485,0.8437265569951378,0.06157823544071794
lipo,regression,outer,32,within_unit_rank,candidate_1,10,30,32,10.197548142534103,5.96511744370324,-0.0025404090379723423,16.5214617461749,9.064312171988202,-0.0019342998335461284,0.23858724928406477
lipo,regression,inner,4,raw,candidate_1,10,90,4,1.0701633540475561,1.0248626278828117,0.9883911305110542,1.175689663146341,1.0615743698976028,0.9651399563842538,0.023524264240188258
lipo,regression,inner,4,row_centred,candidate_1,10,90,4,1.751213921466475,1.5486395299857718,-0.34126984465248544,1.9970339573466493,1.6609477488290496,-0.32189295549521624,0.0567787909213039
lipo,regression,inner,4,fixed_reference_relative,candidate_1,10,90,3,1.1831877784864493,1.0694975639695767,0.9480031708275966,1.3214697191506186,1.1366879718741967,0.9034137043505661,0.04703514486993128
lipo,regression,inner,4,within_unit_rank,candidate_1,10,90,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lipo,regression,inner,8,raw,candidate_1,10,90,8,1.5526996699879003,1.3146459716649426,0.8091474617806359,1.6935999756129623,1.357974545683106,0.7935500646953799,0.019276334440859622
lipo,regression,inner,8,row_centred,candidate_1,10,90,8,1.3733765350868357,1.1392574209718207,-0.8787607595719967,1.4962995894408904,1.1788235839906047,-0.8613928436272575,0.019764100473942645
lipo,regression,inner,8,fixed_reference_relative,candidate_1,10,90,7,1.7508434493749514,1.428163960904955,0.7516203127060429,1.974412264712485,1.5117454769127394,0.7250470040199121,0.03535469736103738
lipo,regression,inner,8,within_unit_rank,candidate_1,10,90,8,3.2225067156051277,2.2543264609458666,-0.37147738799129043,4.726370538817979,3.2010623640616105,-0.2849021980020277,0.23305641955060993
lipo,regression,inner,16,raw,candidate_1,10,90,16,1.5616003359146151,1.2525595938451068,0.9491258475126416,1.701732811939413,1.2891744688105247,0.9343882080417301,0.01552759258378012
lipo,regression,inner,16,row_centred,candidate_1,10,90,16,3.6203546076576427,2.2073706837911793,0.08957293319482847,4.013947674212678,2.3370815868616015,0.08664144755251366,0.03272736012717762
lipo,regression,inner,16,fixed_reference_relative,candidate_1,10,90,15,1.805758966344784,1.344736214480101,0.9129769820138653,2.0421653585232638,1.412308213707223,0.8886616377824348,0.02663303096403955
lipo,regression,inner,16,within_unit_rank,candidate_1,10,90,16,6.716965823284869,4.076916580873245,-0.15030134487034016,8.239868437146395,4.938992065496181,-0.1315263220072493,0.12491586738154015
lipo,regression,inner,32,raw,candidate_1,10,90,32,1.5232530867713088,1.1878192857147691,0.9536260543159472,1.671804555927611,1.2211874681600496,0.9399977991963364,0.014290984456571782
lipo,regression,inner,32,row_centred,candidate_1,10,90,32,7.954307193699915,4.358378020224601,-0.0023526112919852295,9.443229394152768,4.882380119287252,-0.0022016123536944387,0.06418354736509409
lipo,regression,inner,32,fixed_reference_relative,candidate_1,10,90,31,1.815115947974449,1.282641292685019,0.9204338448969428,2.0775404254826286,1.3429625553815543,0.898611590222614,0.023708661730894497
lipo,regression,inner,32,within_unit_rank,candidate_1,10,90,32,14.024435322982574,8.24751793743758,-0.04040276727440523,17.77819169683667,10.526165054463652,-0.03400462300815723,0.15835906047705722
tdc_caco2_wang,regression,outer,4,raw,candidate_1,10,30,4,2.1932007922581813,1.7695486901244424,0.6165441446348532,2.598216496483185,2.0542935939245903,0.5344492364724904,0.1331533335881136
tdc_caco2_wang,regression,outer,4,row_centred,candidate_1,10,30,4,2.021530677238755,1.7076405783848525,-0.2418045343719413,2.414067905400823,1.9389500495857583,-0.21517027044546772,0.11014790932540951
tdc_caco2_wang,regression,outer,4,fixed_reference_relative,candidate_1,10,30,3,1.1806704162318833,1.0742223365587575,0.928498948882592,1.3504838244817485,1.1549394798310788,0.8764983997499467,0.05600496284376622
tdc_caco2_wang,regression,outer,4,within_unit_rank,candidate_1,10,30,4,1.0,1.0,-1.0,1.0,1.0,-1.0,1.1089029021226319e-16
tdc_caco2_wang,regression,outer,8,raw,candidate_1,10,30,8,2.8365720768996896,2.3278324906512204,0.5343459167272664,3.7558894699782432,2.7946136216635726,0.4671855845014321,0.12568699436719621
tdc_caco2_wang,regression,outer,8,row_centred,candidate_1,10,30,8,2.2841171388038672,1.7095281106442468,-0.0444665733330742,2.7840212670621898,1.9148106494690766,-0.04132418572675185,0.0706685352789506
tdc_caco2_wang,regression,outer,8,fixed_reference_relative,candidate_1,10,30,7,1.2763580919388715,1.1162695903024156,0.9563541650254131,1.4838780733031014,1.1855825287731194,0.9224952269249271,0.03540418323957083
tdc_caco2_wang,regression,outer,8,within_unit_rank,candidate_1,10,30,8,4.927420327109699,4.285716597413864,-0.11370859405288027,6.629965928018074,6.292658973054258,-0.04790432719406827,0.5787097044591875
tdc_caco2_wang,regression,outer,16,raw,candidate_1,10,30,16,2.9708300330105604,1.9866996612651366,0.7319553005566372,3.978990677622896,2.3238699834009844,0.6685842648402485,0.08657774001799862
tdc_caco2_wang,regression,outer,16,row_centred,candidate_1,10,30,16,4.027463998724763,2.4653077355305086,0.18182044069106718,5.34394920607297,2.9738443883126906,0.16240638279554404,0.10677599186171687
tdc_caco2_wang,regression,outer,16,fixed_reference_relative,candidate_1,10,30,15,1.2724891546593649,1.0975900576199797,0.968720886301132,1.5144883826426447,1.1638398745942828,0.9385012900254714,0.03119535947144553
tdc_caco2_wang,regression,outer,16,within_unit_rank,candidate_1,10,30,16,8.27213023786586,6.373016489198299,-0.010818610819625584,12.954055112813249,11.16075118252543,-0.005453696325368717,0.49589680077266185
tdc_caco2_wang,regression,outer,32,raw,candidate_1,10,30,32,2.68193705044322,1.6565879502063363,0.8323157781439563,3.6592129271196767,1.8821653128653357,0.7779401014521956,0.06533058500106441
tdc_caco2_wang,regression,outer,32,row_centred,candidate_1,10,30,32,7.795744825441367,4.96242404715044,0.011717022408638506,12.98512530163852,7.148290857484255,0.009359601191957136,0.2011962710716842
tdc_caco2_wang,regression,outer,32,fixed_reference_relative,candidate_1,10,30,31,1.2322044227388376,1.0733574285408318,0.9786377749430233,1.4992795093468085,1.1358697685721417,0.9503330324660265,0.02892259342701595
tdc_caco2_wang,regression,outer,32,within_unit_rank,candidate_1,10,30,32,10.11262972486249,6.055214808684844,-0.05214277357944619,17.69510496157942,10.2189438598108,-0.036635305932993176,0.29740396572547867
tdc_caco2_wang,regression,inner,4,raw,candidate_1,10,90,4,1.8301209574016808,1.4801438815702483,0.7661250975154951,1.9939822346253695,1.5701658038571207,0.7304312535944126,0.04659009871473424
