dataset,seed,outer_fold,pool_size,selector,selected_candidate,fixed_k32_reference_candidate,outer_roc_auc,outer_pr_auc,outer_minority_recall,outer_majority_recall,outer_balanced_recall,outer_minority_miss_rate,target_metric,target_value,fixed_reference_target_value,fixed_reference_gap,constraint_target,inner_constraint_met
tdc_pgp_broccatelli,97,2,4,pr_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.9179212807432292,0.9525681745138406,0.8794326241134752,0.783625730994152,0.8315291775538136,0.12056737588652477,pr_auc,0.9525681745138406,0.960776851824612,0.008208677310771462,,
tdc_pgp_broccatelli,97,2,4,minority_constrained,logreg_l2_c0.1,et_90_leaf2,0.9179212807432292,0.9525681745138406,0.8794326241134752,0.783625730994152,0.8315291775538136,0.12056737588652477,outer_majority_recall,0.783625730994152,0.8538011695906432,0.07017543859649122,0.8,1.0
tdc_pgp_broccatelli,97,2,8,roc_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,roc_auc,0.9271494338683588,0.9321056779063496,0.004956244037990776,,
tdc_pgp_broccatelli,97,2,8,pr_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,pr_auc,0.9566238232021872,0.960776851824612,0.004153028622424837,,
tdc_pgp_broccatelli,97,2,8,minority_constrained,rf_90_d12,et_90_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,outer_majority_recall,0.8304093567251462,0.8538011695906432,0.023391812865497075,0.8,1.0
tdc_pgp_broccatelli,97,2,16,roc_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,roc_auc,0.9271494338683588,0.9321056779063496,0.004956244037990776,,
tdc_pgp_broccatelli,97,2,16,pr_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,pr_auc,0.9566238232021872,0.960776851824612,0.004153028622424837,,
tdc_pgp_broccatelli,97,2,16,minority_constrained,et_90_d12,et_90_leaf2,0.9285803160383228,0.9592904204943944,0.8687943262411347,0.8304093567251462,0.8496018414831404,0.13120567375886527,outer_majority_recall,0.8304093567251462,0.8538011695906432,0.023391812865497075,0.8,1.0
tdc_pgp_broccatelli,97,2,32,roc_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,roc_auc,0.9271494338683588,0.9321056779063496,0.004956244037990776,,
tdc_pgp_broccatelli,97,2,32,pr_auc,rf_90_d12,et_120_d20_leaf2,0.9271494338683588,0.9566238232021872,0.8581560283687943,0.8304093567251462,0.8442826925469702,0.14184397163120566,pr_auc,0.9566238232021872,0.960776851824612,0.004153028622424837,,
tdc_pgp_broccatelli,97,2,32,minority_constrained,et_90_d12,et_90_leaf2,0.9285803160383228,0.9592904204943944,0.8687943262411347,0.8304093567251462,0.8496018414831404,0.13120567375886527,outer_majority_recall,0.8304093567251462,0.8538011695906432,0.023391812865497075,0.8,1.0
tdc_pgp_broccatelli,97,3,4,roc_auc,logreg_l2_c1,et_120_d20_leaf2,0.857063829787234,0.8747488883760226,0.7489361702127659,0.82,0.784468085106383,0.25106382978723407,roc_auc,0.857063829787234,0.8889361702127659,0.031872340425531887,,
tdc_pgp_broccatelli,97,3,4,pr_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.8544893617021279,0.8738880761875234,0.7531914893617021,0.8,0.7765957446808511,0.2468085106382979,pr_auc,0.8738880761875234,0.8810404497368725,0.007152373549349056,,
tdc_pgp_broccatelli,97,3,4,minority_constrained,logreg_l2_c1,et_90_leaf2,0.857063829787234,0.8747488883760226,0.7489361702127659,0.82,0.784468085106383,0.25106382978723407,outer_majority_recall,0.82,0.785,-0.03499999999999992,0.8,1.0
tdc_pgp_broccatelli,97,3,8,roc_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.883404255319149,0.8787877457071039,0.7446808510638298,0.825,0.7848404255319148,0.25531914893617025,roc_auc,0.883404255319149,0.8889361702127659,0.005531914893616929,,
tdc_pgp_broccatelli,97,3,8,pr_auc,rf_90_leaf2,et_120_d20_leaf2,0.8781914893617021,0.8734450397506619,0.7829787234042553,0.83,0.8064893617021276,0.21702127659574466,pr_auc,0.8734450397506619,0.8810404497368725,0.007595409986210555,,
tdc_pgp_broccatelli,97,3,8,minority_constrained,rf_120_d20_leaf2,et_90_leaf2,0.883404255319149,0.8787877457071039,0.7446808510638298,0.825,0.7848404255319148,0.25531914893617025,outer_majority_recall,0.825,0.785,-0.039999999999999925,0.8,1.0
tdc_pgp_broccatelli,97,3,16,roc_auc,et_60_sqrt,et_120_d20_leaf2,0.8794787234042553,0.8704320173251179,0.7872340425531915,0.795,0.7911170212765958,0.21276595744680848,roc_auc,0.8794787234042553,0.8889361702127659,0.009457446808510683,,
tdc_pgp_broccatelli,97,3,16,pr_auc,et_90_d12,et_120_d20_leaf2,0.8779999999999999,0.8750234752583032,0.7787234042553192,0.81,0.7943617021276597,0.22127659574468084,pr_auc,0.8750234752583032,0.8810404497368725,0.0060169744785693036,,
tdc_pgp_broccatelli,97,3,16,minority_constrained,rf_120_d20_leaf2,et_90_leaf2,0.883404255319149,0.8787877457071039,0.7446808510638298,0.825,0.7848404255319148,0.25531914893617025,outer_majority_recall,0.825,0.785,-0.039999999999999925,0.8,1.0
tdc_pgp_broccatelli,97,3,32,roc_auc,et_60_sqrt,et_120_d20_leaf2,0.8794787234042553,0.8704320173251179,0.7872340425531915,0.795,0.7911170212765958,0.21276595744680848,roc_auc,0.8794787234042553,0.8889361702127659,0.009457446808510683,,
tdc_pgp_broccatelli,97,3,32,pr_auc,et_90_d12,et_120_d20_leaf2,0.8779999999999999,0.8750234752583032,0.7787234042553192,0.81,0.7943617021276597,0.22127659574468084,pr_auc,0.8750234752583032,0.8810404497368725,0.0060169744785693036,,
tdc_pgp_broccatelli,97,3,32,minority_constrained,rf_120_d20_leaf2,et_90_leaf2,0.883404255319149,0.8787877457071039,0.7446808510638298,0.825,0.7848404255319148,0.25531914893617025,outer_majority_recall,0.825,0.785,-0.039999999999999925,0.8,1.0
tdc_pgp_broccatelli,113,1,4,roc_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.9051944971537002,0.9400561724546718,0.8352941176470589,0.842741935483871,0.839018026565465,0.16470588235294115,roc_auc,0.9051944971537002,0.9191650853889944,0.01397058823529429,,
tdc_pgp_broccatelli,113,1,4,pr_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.9051944971537002,0.9400561724546718,0.8352941176470589,0.842741935483871,0.839018026565465,0.16470588235294115,pr_auc,0.9400561724546718,0.9458008672131132,0.005744694758441415,,
tdc_pgp_broccatelli,113,1,4,minority_constrained,logreg_l2_c0.1,et_90_leaf2,0.9051944971537002,0.9400561724546718,0.8352941176470589,0.842741935483871,0.839018026565465,0.16470588235294115,outer_majority_recall,0.842741935483871,0.8870967741935484,0.04435483870967738,0.8,1.0
tdc_pgp_broccatelli,113,1,8,roc_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.9220351043643262,0.9465324224125814,0.7705882352941177,0.9112903225806451,0.8409392789373814,0.22941176470588232,roc_auc,0.9220351043643262,0.9191650853889944,-0.0028700189753317895,,
