dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bbbp,83,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,3,32,pr_auc,1,0.012685340211472718,0.006598239689397212,0.0340136054421768,-0.011818030981794125
bbbp,97,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,2,8,pr_auc,1,-0.011617130073505955,-0.004610320222987463,-0.021428571428571463,-0.01966283157558335
bbbp,97,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,97,3,8,pr_auc,1,0.0019120458891016545,0.0008845271407256217,0.013698630136986245,-0.01513921265617224
bbbp,97,3,16,pr_auc,1,0.0019120458891016545,0.0008845271407256217,0.013698630136986245,-0.01513921265617224
bbbp,97,3,32,pr_auc,1,0.0019120458891016545,0.0008845271407256217,0.013698630136986245,-0.01513921265617224
bbbp,113,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,1,8,pr_auc,1,-0.014565095921028282,-0.004548531221721941,-0.06153846153846154,-0.033190538275284065
bbbp,113,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,2,8,pr_auc,1,-0.01478850500484341,-0.007043947485443569,0.06748466257668717,-0.07590679151867397
bbbp,113,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,113,3,4,pr_auc,0,0.0,0.0,0.0,0.0
