task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
esol,8,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.8018844304317019,5,0
esol,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.7637841076998286,5,0
esol,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.05498368605106899,2,3
esol,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
esol,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.5216738036210653,5,0
esol,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.832538530826741,5,0
esol,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.866076395527991,5,0
esol,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.04730860177709332,0,5
esol,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,-0.24615384615384617,0,3
esol,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.08211175397013797,1,4
esol,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.8006744573180622,5,0
esol,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.7407866900870924,5,0
esol,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.07798110366380524,1,4
esol,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.4102564102564103,4,0
esol,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.2875923931944293,5,0
esol,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.8408061777947442,5,0
esol,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.8540313096301689,5,0
esol,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.030280598759344707,1,4
esol,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,-0.2942528735632184,0,4
esol,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.1209916231549979,0,5
esol,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.8252909408211547,5,0
esol,32,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.866076395527991,5,0
esol,32,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.04730860177709332,0,5
esol,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-0.367816091954023,0,4
esol,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.10419933109758235,0,5
lipo,4,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.20955946444921442,5,0
lipo,4,Classical multiview - Homogeneous Morgan,selected_model_gain,0.20955946444921442,5,0
lipo,4,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
lipo,4,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
lipo,4,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.0,0,0
lipo,4,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.17409005005547457,5,0
lipo,4,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.13629189859036334,5,0
lipo,4,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.037798151465111236,3,0
lipo,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-0.26666666666666666,0,1
lipo,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.3130434782608696,0,3
lipo,8,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.1983044392327987,5,0
lipo,8,Classical multiview - Homogeneous Morgan,selected_model_gain,0.16755988282658427,5,0
lipo,8,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.021690193697586763,5,0
lipo,8,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
lipo,8,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.1851100593494103,0,5
lipo,8,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.16593470216003098,5,0
lipo,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.1440693580597156,5,0
lipo,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.008639437690842662,3,1
lipo,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-0.21333333333333332,0,2
lipo,8,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.134625497708662,1,3
lipo,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.24106174369143107,5,0
